Name,Link,Type,Collected info?
"Dunkirk, City of ",http://www.dunkirktoday.com/,City,x
"Jamestown, City of",http://www.jamestownny.net/,City,x
"Arkwright, Town of",,Town,X
"Busti, Town of",http://townofbusti.com/,Town,X
"Carroll, Town of",http://www.carrollny.org/,Town,X
"Charlotte, Town of",http://www.charlotteny.org/,Town,X
"Chautauqua, Town of",http://www.townofchautauqua.com/,Town,X
"Cherry Creek, Town of",http://cherrycreekny.org/,Town,X
"Clymer, Town of",https://www.clymer.org/,Town,x
"Dunkirk, Town of",https://www.dunkirkny.org/,Town,X
"Ellery, Town of",http://www.elleryny.org/,Town,X
"Ellicott, Town of",http://www.townofellicott.com/,Town,X
"Ellington, Town of",http://ellingtonny.org/,Town,X
"French Creek, Town of",http://frenchcreekny.org/,Town,X
"Gerry, Town of",https://gerryny.us/,Town,X
"Hanover, Town of",http://townofhanoverny.com/,Town,X
"Harmony, Town of",http://harmonyny.org/,Town,X
"Kiantone, Town of",http://kiantoneny.org/,Town,X
"Mina, Town of",http://www.townofmina.info/,Town,X
"North Harmony, Town of",http://townofnorthharmony.com/,Town,X
"Poland, Town of",http://www.polandny.org/,Town,X
"Pomfret, Town of",https://townofpomfretny.org/,Town,X
"Portland, Town of",https://townofportland.org/,Town,X
"Ripley, Town of",http://www.ripley-ny.com/,Town,X
"Stockton, Town of",,Town,X
"Westfield, Town of",https://westfieldny.com/town-westfield/town-westfield,Town,X
"Villenova, Town of",http://villenovany.org/,Town,x
"Celeron, Village of",http://celoronny.org/default.html,Village,
"Mayville, Village of",http://www.villageofmayville.com/,Village,
"Cherry Creek, Village of",https://cgullo.wixsite.com/villageofcherrycreek,Village,
"Bemus Point, Village of",http://www.bemuspointny.org/,Village,
"Falconer, Village of",http://falconerny.org/,Village,
"Silver Creek, Village of",http://silvercreekny.com/,Village,
"Lakewood, Village of",http://lakewoodny.com/,Village,
"Panama, Village of",https://www.panamany.com/,Village,
"Fredonia, Village of",http://villageoffredoniany.com/,Village,
"Brocton, Village of",https://www.brocton.org/,Village,
"Cassadaga, Village of",https://www.cassadaganewyork.org/village-history.html,Village,
"Westfield, Village of",https://westfieldny.com/village-westfield/village-westfield,Village,
